lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
525,0.376933807,0.934098864,0.247834758,0.211983942,0.689239649,0.588143338,,,,
526,0.381744552,0.936101306,0.25011396,0.202753173,0.695287675,0.591212121,,,,
527,0.386685537,0.938527029,0.252942613,0.197812188,0.701669442,0.595094905,,,,
528,0.39007992,0.939056129,0.253133903,0.1902257,0.703671884,0.598009028,,,,
529,0.395208125,0.940651571,0.255665446,0.182500833,0.71002109,0.601810412,,,,
530,0.39983165,0.941962112,0.257472527,0.176884227,0.713822474,0.604081474,,,,
531,0.401711992,0.941864432,0.256772487,0.177551708,0.716394716,0.605660636,,,,
532,0.406001776,0.943032523,0.258070818,0.204808525,0.721217671,0.607500278,,,,
533,0.408647279,0.943809894,0.25974359,0.220644911,0.723566064,0.608379398,,,,
534,0.411561402,0.943069153,0.26030525,0.202224072,0.725869686,0.608297998,,,,
535,0.417560588,0.946243756,0.262706553,0.232439782,0.732577053,0.614004144,,,,
536,0.422277722,0.948661339,0.264468864,0.325016095,0.737591298,0.616865357,,,,
537,0.427271617,0.949491619,0.265645096,0.490925741,0.742133422,0.62028009,,,,
538,0.431317201,0.94984978,0.267028897,0.656867947,0.744616125,0.622917453,,,,
539,0.435436045,0.951054501,0.268754579,0.928149998,0.749060569,0.625668776,,,,
540,0.438350168,0.950509121,0.269430199,0.968508159,0.751958412,0.625839716,,,,
541,0.442241092,0.952104562,0.270695971,0.968508159,0.755039405,0.627500278,,,,
542,0.4503404,0.954115144,0.274013024,0.968508159,0.763411403,0.633336663,,,,
543,0.456046546,0.955596626,0.276129426,0.968508159,0.767188367,0.636511267,,,,
544,0.461777112,0.956443186,0.277407407,0.968508159,0.773220113,0.638245088,,,,
545,0.468329818,0.957957228,0.27973545,0.968508159,0.777949458,0.642437192,,,,
546,0.469335109,0.957122877,0.27980464,0.968508159,0.777774448,0.639478299,,,,
547,0.475053465,0.957509528,0.281111111,0.968508159,0.780733341,0.641696452,,,,
548,0.479253709,0.957183927,0.282494912,0.968508159,0.784168424,0.645172235,,,,
549,0.488110038,0.959292189,0.286621897,0.964657935,0.791225811,0.648818959,,,,
550,0.494174344,0.958877049,0.288396418,0.851609502,0.793741074,0.648851519,,,,
551,0.498089688,0.959259629,0.289023199,0.696493506,0.797737818,0.64962482,,,,
552,0.503966774,0.958551449,0.29014652,0.541084471,0.800635661,0.65009694,,,,
553,0.5100555,0.957908388,0.291302401,0.393734044,0.802752063,0.650862101,,,,
554,0.516079106,0.958185148,0.292767603,0.273017723,0.806341806,0.651090021,,,,
555,0.521394531,0.956825767,0.293947904,0.198422688,0.808954749,0.651814482,,,,
556,0.528541459,0.957574648,0.298168498,0.161804862,0.814160284,0.654398934,,,,
557,0.535395345,0.957680468,0.297570208,0.137169127,0.817241277,0.654354164,,,,
558,0.540946831,0.957126947,0.30009361,0.113628224,0.82030192,0.654826285,,,,
559,0.548696119,0.955751286,0.301347171,0.096802827,0.821677582,0.653580864,,,,
560,0.556307026,0.954953565,0.302665853,0.086228956,0.825658046,0.654565805,,,,
561,0.563327783,0.955071595,0.304713065,0.080754801,0.82983794,0.655387945,,,,
562,0.571162541,0.953602324,0.305750916,0.074702705,0.831730492,0.654793725,,,,
563,0.578447848,0.953065083,0.307590558,0.066904577,0.836093536,0.653882044,,,,
564,0.585285455,0.951844082,0.309283679,0.059432049,0.837550598,0.654126244,,,,
565,0.595419765,0.951331261,0.310602361,0.053758464,0.842581123,0.654004144,,,,
566,0.602253302,0.94974803,0.311184371,0.050547231,0.843928294,0.653556444,,,,
567,0.607320457,0.947961298,0.311986162,0.048459318,0.845674326,0.651749362,,,,
568,0.614125504,0.946903097,0.312515263,0.047026677,0.847684908,0.649421319,,,,
569,0.624878455,0.946023976,0.314281644,0.041149591,0.850721131,0.648770119,,,,
570,0.633742924,0.944347134,0.316487586,0.034995745,0.854660895,0.648436378,,,,
571,0.646954157,0.946719947,0.320525031,0.033685204,0.862109002,0.655094905,,,,
572,0.645309875,0.93959337,0.315787546,0.032586303,0.856451696,0.642469752,,,,
573,0.635134865,0.926715877,0.307501018,0.032830503,0.846146446,0.624366374,,,,
574,0.641956192,0.923907574,0.306393976,0.040636771,0.846529027,0.61970215,,,,
575,0.646766937,0.92048877,0.306068376,0.111096681,0.847163947,0.614394864,,,,
576,0.657780368,0.91956895,0.308811559,0.525830096,0.850981611,0.615713546,,,,
577,0.683718504,0.929418359,0.318205128,0.309033189,0.865503386,0.632689533,,,,
578,0.693091723,0.93000444,0.31954823,0.502924113,0.871624672,0.632766863,,,,
579,0.691699782,0.921831872,0.314778185,0.466416176,0.866903467,0.621802272,,,,
580,0.693742924,0.916605987,0.312889703,0.386823177,0.864575425,0.614923965,,,,
581,0.69952233,0.913618604,0.312091982,0.43012802,0.865731306,0.61002368,,,,
582,0.704064454,0.909353239,0.310838421,0.601882192,0.865031265,0.604284974,,,,
583,0.707076257,0.906243756,0.30960928,0.652256632,0.864966145,0.60014985,,,,
584,0.7104625,0.902141192,0.308046398,0.606188256,0.864803345,0.595396085,,,,
