lambda,1,2,3,4,5,6,7,8,9,10
229.4241593,14.33076923,16.41538462,10.18461538,10.13846154,17.73076923,11.51538462,19.26153846,8.338461538,10.68461538,16.99230769
229.6419171,7.938461538,18.29230769,5.376923077,12.66153846,6.869230769,9.946153846,8.184615385,13.14615385,7.630769231,4.884615385
229.859665,12.17692308,15.35384615,11.9,9.7,14.03846154,7.384615385,15.58461538,9.192307692,8.884615385,16.96153846
230.0774032,9.907692308,6.823076923,6.676923077,13.22307692,12.07692308,13.12307692,8.776923077,5.692307692,6.130769231,10.39230769
230.2951315,11.21538462,17.72307692,13.01538462,13.87692308,14.28461538,17.8,13.97692308,14.35384615,9.076923077,12.06923077
230.51285,6.746153846,9.7,14.08461538,14.44615385,7.184615385,11.94615385,11.53846154,8.230769231,8.115384615,11.44615385
230.7305587,7.569230769,11.69230769,16.23076923,8.1,16.1,10.63076923,16.16923077,7.530769231,6.323076923,19.76153846
230.9482575,12.36923077,17.55384615,13.36153846,11.15384615,12.67692308,11.35384615,15.47692308,13.46153846,7.946153846,16.09230769
231.1659466,13.21538462,12.88461538,6.469230769,16.09230769,10.50769231,20.17692308,12.6,7.638461538,10.17692308,11.1
231.3836258,8.792307692,7.892307692,9.130769231,12.86153846,16.33846154,11.33846154,10.5,11.89230769,5.992307692,8.469230769
231.6012952,14.1,5.907692308,5.469230769,15.98461538,14.31538462,5.492307692,19.23846154,10.74615385,7.553846154,9.5
231.8189547,11.16153846,3.876923077,16.83076923,14.93846154,11.61538462,13.93846154,12.66923077,15.18461538,19.95384615,10.65384615
232.0366045,14.7,13.91538462,10.03846154,17.13076923,19.11538462,14.12307692,10.72307692,14.30769231,3.776923077,12.99230769
232.2542444,11.5,12.18461538,9.923076923,17.9,6.992307692,4.253846154,5.330769231,19.73846154,10.96923077,10.64615385
232.4718744,4.153846154,10.57692308,5.876923077,25.46923077,14.56153846,9.030769231,19.54615385,11.43076923,6.292307692,6.853846154
232.6894946,6.430769231,7.561538462,9.115384615,7.076923077,3.538461538,4.461538462,12.34615385,4.476923077,3.946153846,6.607692308
232.907105,9.392307692,18.97692308,11.50769231,12.74615385,9.046153846,11.15384615,7.830769231,13.13846154,19.09230769,9.015384615
233.1247055,10.65384615,11.23846154,6.061538462,6.730769231,8.276923077,10.64615385,3.630769231,7.123076923,5.269230769,5.238461538
233.3422962,8.1,13.23076923,7.561538462,7.515384615,10.25384615,8.8,19.07692308,4.884615385,9.246153846,11.30769231
233.559877,3.792307692,7.461538462,6.630769231,12.04615385,5.361538462,11.10769231,17.27692308,6.884615385,7.769230769,14.60769231
233.777448,4.830769231,10.9,10.97692308,23.09230769,8.523076923,9.276923077,10.32307692,13.04615385,10.12307692,9.576923077
233.9950092,8.761538462,8.953846154,2.153846154,10.73076923,9.153846154,7.323076923,11.28461538,12.49230769,6.523076923,5.415384615
234.2125604,14.71538462,13.78461538,16.46153846,16.00769231,16.09230769,20.87692308,22.26153846,10.24615385,9.376923077,14.97692308
234.4301018,5.553846154,13.28461538,14.00769231,6.023076923,7.5,6.546153846,15.03076923,6.476923077,1.8,5.615384615
234.6476334,9.161538462,11.86153846,13.68461538,16.70769231,11.42307692,21.76923077,16.49230769,12.46153846,4.769230769,9.592307692
234.8651551,5.876923077,8.2,18.00769231,11.06923077,9.169230769,6.138461538,10.35384615,9.7,7.315384615,17.36153846
235.0826669,10.59230769,9.7,9.784615385,5.246153846,10.31538462,18.37692308,9.523076923,15.32307692,14.13076923,11.62307692
235.3001688,0.676923077,8.815384615,13.96153846,7.423076923,10.53846154,7.938461538,9.876923077,7.153846154,3.123076923,8.261538462
235.5176609,7.315384615,6.353846154,19.20769231,8.276923077,14.08461538,10.65384615,14.6,13.50769231,7.030769231,10.45384615
235.7351431,4.815384615,14.81538462,14.90769231,17.11538462,8.807692308,9.807692308,7.4,5.030769231,9.492307692,12.09230769
235.9526155,11.95384615,8.915384615,17.23846154,15.34615385,12.96153846,10.97692308,7.869230769,8.976923077,13.61538462,11.21538462
236.1700779,8.384615385,3,10.93846154,7.2,6.9,14.53076923,7.807692308,8,14.52307692,10.40769231
236.3875305,18.17692308,15.39230769,18.93076923,18.13846154,13.17692308,6.692307692,10.07692308,14.59230769,10.54615385,18.43846154
236.6049732,6.153846154,5.9,14.58461538,7.423076923,13.72307692,7.453846154,7.753846154,6.630769231,2.715384615,5.938461538
236.822406,8.930769231,18.25384615,17.46153846,25.29230769,22.38461538,11.79230769,25.49230769,16.15384615,11.93846154,11.53076923
237.0398289,13.35384615,12.33076923,13.55384615,8.115384615,15.03846154,7.946153846,11.66923077,9.784615385,5.953846154,20.65384615
237.2572419,4.738461538,9.461538462,21.23076923,12.28461538,12.30769231,7.423076923,10.83846154,16.09230769,5.076923077,11.38461538
237.474645,11.16923077,7.3,6.284615385,11.07692308,10.55384615,8.192307692,8.3,7.876923077,2.507692308,7.938461538
237.6920383,19.20769231,4.938461538,17.90769231,10.33076923,13.9,6.376923077,8.384615385,16.48461538,17.26923077,10.55384615
237.9094216,5.176923077,6.415384615,8.438461538,14.48461538,6.269230769,12.37692308,11.24615385,9.253846154,4.469230769,18.41538462
238.126795,10.63076923,13.26153846,10.22307692,11.53846154,8.946153846,14.56153846,9.669230769,14.01538462,10.86923077,4.5
238.3441586,8.5,10.97692308,4.838461538,10.96923077,7.584615385,15.10769231,10.83076923,8.361538462,10.96923077,15.40769231
238.5615122,15.33076923,14.68461538,15.04615385,11.28461538,19.31538462,11.37692308,8.9,12.74615385,11.59230769,10.56153846
238.7788559,10.94615385,5.107692308,4.4,5.976923077,7.376923077,9.530769231,12.45384615,8.746153846,13.91538462,9.607692308
238.9961897,10.97692308,11.48461538,17.96923077,24.41538462,17.27692308,11.39230769,21.1,15,19.85384615,10.97692308
239.2135136,8.038461538,4.892307692,14.23076923,12.02307692,12.35384615,8.715384615,7.561538462,2.338461538,14.93846154,20.99230769
239.4308276,21.61538462,14.25384615,19.20769231,11.10769231,10.96153846,11.85384615,11.70769231,13.12307692,13.50769231,13.4
239.6481317,5.4,10.32307692,7.123076923,9.676923077,7.276923077,10.37692308,6.130769231,10.66153846,6.423076923,5.476923077
239.8654259,12.94615385,11.57692308,9.653846154,15.31538462,26.01538462,13.75384615,8.453846154,13.46923077,14.03076923,12.48461538
240.0827101,8.630769231,5.569230769,11.86153846,13.20769231,13.00769231,17.77692308,4.476923077,14.85384615,8.053846154,8.946153846
240.2999844,9.707692308,17.43846154,16.62307692,7.784615385,13.43846154,6.569230769,8.769230769,13.28461538,16.05384615,15.56153846
240.5172488,7.9,9.538461538,8.992307692,11.76923077,13.33076923,3.892307692,15.19230769,11.42307692,8.084615385,5.592307692
240.7345032,12.82307692,13.88461538,10.59230769,11.10769231,14.42307692,13.34615385,10.06153846,9.930769231,11.38461538,8.392307692
240.9517477,1.2,7.838461538,11.02307692,7.023076923,12.74615385,9.461538462,7.207692308,9.038461538,4.492307692,8.569230769
241.1689823,11.94615385,12.94615385,12.1,17.27692308,10.03076923,11.06923077,2.492307692,18.21538462,8.353846154,9.861538462
241.386207,12.51538462,7.407692308,7.307692308,8.438461538,14.16153846,4.976923077,4.030769231,5.2,6.746153846,4.292307692
241.6034217,9.423076923,10.48461538,4.707692308,9.776923077,16.13076923,9.269230769,14.56923077,12.73076923,8.115384615,12.76153846
241.8206264,8.423076923,8.630769231,12.22307692,9.346153846,12.60769231,7.446153846,5.530769231,5.169230769,7.576923077,10.41538462
242.0378213,11.58461538,13.10769231,17.60769231,18.42307692,14.06153846,11.44615385,25.1,6.461538462,7.161538462,16.7
242.2550061,8.246153846,11.93846154,11.91538462,15.26153846,13.70769231,14.00769231,4.7,8.438461538,4.515384615,9.823076923
242.4721811,13.02307692,9.576923077,11.37692308,11.49230769,20.73846154,16.27692308,12.39230769,4.361538462,11.63076923,15.90769231
242.689346,7.261538462,9.553846154,12.40769231,8.053846154,8.261538462,9.884615385,5.538461538,13.28461538,9.269230769,12.9
242.9065011,4.430769231,11.34615385,17.26923077,19.18461538,21.47692308,14.46153846,6.707692308,11.63076923,9.346153846,12.21538462
243.1236461,6.746153846,15.31538462,17.78461538,9.446153846,9.784615385,8.453846154,12.80769231,10.16153846,5.561538462,7.792307692
