lambda,1,2,3,4,5,6,7,8,9,10
215.0305832,6.7,15.88461538,2.3,11.98461538,6.5,8.230769231,16.96153846,2.207692308,8.869230769,20.33076923
215.2489829,18.2,2.692307692,6.453846154,11.73076923,14.19230769,11.13846154,16.95384615,11.46923077,8.553846154,7.246153846
215.467373,19.56153846,10.07692308,12.51538462,10.23846154,8.361538462,15.30769231,14.48461538,8.492307692,10.90769231,11.09230769
215.6857534,13.41538462,9.738461538,7.769230769,12.96153846,11.02307692,6.715384615,7.384615385,3.761538462,3.361538462,11.40769231
215.9041242,19.25384615,12.87692308,10.05384615,14.95384615,23.38461538,17.86153846,20.28461538,16.54615385,9.476923077,12.36153846
216.1224854,9.730769231,7.976923077,16.40769231,8.930769231,8.869230769,8.084615385,14.16153846,8.038461538,13.02307692,18.41538462
216.3408368,13.88461538,15.80769231,21.37692308,7.138461538,22.13076923,21.46153846,17.21538462,13.26153846,8.730769231,15.26923077
216.5591787,12.73846154,5.969230769,9.684615385,7.869230769,6.184615385,13.14615385,17.78461538,13.52307692,8.761538462,11.16153846
216.7775108,11.66153846,10.7,11.30769231,13.90769231,9.284615385,18.7,10.55384615,22.43846154,14.86153846,9.915384615
216.9958333,6.753846154,14.21538462,3.915384615,17.15384615,16.97692308,15.27692308,11.36153846,6.776923077,12.73846154,7.707692308
217.2141461,10.20769231,9.453846154,8.884615385,15.42307692,11.48461538,11.80769231,16.73846154,9.784615385,15.11538462,19.46153846
217.4324493,11.12307692,8.292307692,5.346153846,13.03846154,14.32307692,8.730769231,17.76923077,9.830769231,4.169230769,6.761538462
217.6507427,15.51538462,17.85384615,9.569230769,7.761538462,6.961538462,16.67692308,10.15384615,13.71538462,14.34615385,14.93076923
217.8690265,7.815384615,9.146153846,3.669230769,10.83076923,3.738461538,4.069230769,12.80769231,8.130769231,7.530769231,12.40769231
218.0873007,10.20769231,21.16923077,13.76923077,13.02307692,11.4,7.446153846,20.74615385,17.45384615,14.07692308,15.23846154
218.3055651,14.48461538,7.761538462,14.62307692,7,11.7,7.830769231,14.71538462,16.86923077,6.715384615,12.51538462
218.5238199,24.60769231,12.74615385,12.78461538,10.23076923,19.83846154,16.16923077,19.46923077,2.453846154,8.792307692,19.28461538
218.7420649,12.15384615,15.63846154,6.376923077,12.23846154,8.746153846,11.15384615,16.99230769,9.792307692,9.369230769,7.184615385
218.9603003,11.31538462,17.93846154,14.46153846,6.507692308,11.41538462,4.892307692,19.84615385,12.91538462,13.92307692,11.53846154
219.178526,12.8,14.85384615,15.23076923,9.4,8.207692308,9.407692308,11.23846154,12.82307692,7.746153846,11.99230769
