lambda,1,2,3,4,5,6,7,8,9,10,11
227.8995807,8.469230769,3.092307692,7,16.9,8.061538462,6.130769231,15.74615385,11.54615385,9.607692308,6.8,12.94615385
228.117407,10.96153846,8,12.53846154,10.47692308,9.6,14.37692308,15.96153846,11.51538462,14.37692308,16.39230769,18.86153846
228.3352236,8.276923077,11.1,18.1,13.76153846,9.569230769,6.869230769,8.930769231,9.723076923,10.90769231,5.915384615,23.46153846
228.5530303,16.66923077,16.41538462,17.96923077,19.27692308,17.85384615,16.4,18.83846154,17.58461538,19.20769231,16.36923077,9.707692308
228.7708273,5.584615385,11.78461538,12.60769231,12.76923077,16.66923077,6.676923077,10.43846154,6.376923077,12.38461538,10.78461538,13.63846154
228.9886144,11.13846154,9.861538462,10.33076923,9.607692308,9.830769231,6.769230769,16.66923077,13.57692308,9.215384615,22.26153846,15.75384615
229.2063918,6.815384615,15.81538462,12.63846154,8.769230769,3.130769231,2.269230769,9.907692308,12.97692308,14.84615385,17.53846154,11.79230769
229.4241593,8.323076923,11.9,10.92307692,11.69230769,10.22307692,13.89230769,13.45384615,24.06923077,14.8,10.08461538,10.49230769
229.6419171,10.09230769,6.984615385,7.730769231,13.74615385,4.238461538,1.453846154,13.93846154,11.51538462,11.17692308,12.40769231,17.95384615
229.859665,16.24615385,12.26153846,8.515384615,15.43076923,1.338461538,12.57692308,12.38461538,15.99230769,12.68461538,21.06153846,11.18461538
230.0774032,8.323076923,5.853846154,15.56153846,13.5,18.32307692,9.4,9.015384615,13.17692308,16.99230769,4.238461538,11.19230769
230.2951315,13.38461538,18.61538462,15.91538462,15.48461538,15.50769231,13.03846154,16.83846154,13.45384615,15.68461538,14.46923077,7.353846154
230.51285,10.50769231,16.56153846,14.7,5.938461538,6.138461538,3.584615385,10.84615385,7.538461538,5.5,13.19230769,15.35384615
230.7305587,5.315384615,22.13076923,15.65384615,8.592307692,11.64615385,12.52307692,14.5,17.10769231,11.03846154,16.74615385,14.52307692
230.9482575,13.58461538,12.38461538,6.530769231,12.38461538,14.56153846,11.18461538,11.83846154,16.99230769,7.415384615,12.53846154,10.69230769
231.1659466,4.915384615,16.22307692,16.94615385,14.7,12.13076923,9.592307692,21.35384615,11.95384615,17.34615385,21.06153846,21.14615385
231.3836258,5.007692308,15.36923077,15.15384615,16,5.238461538,12.36153846,13.42307692,13.6,5.161538462,13.99230769,5.984615385
231.6012952,11.07692308,12.23846154,13.55384615,13.15384615,10.53846154,9.376923077,21.44615385,14,8.769230769,16.89230769,12.88461538
231.8189547,14.85384615,9.761538462,4.076923077,6.692307692,15.71538462,10.57692308,6.669230769,10.84615385,8.238461538,17.99230769,13.78461538
232.0366045,9.407692308,11.67692308,6.323076923,10.76923077,12.36923077,8.692307692,12.85384615,10.79230769,7.538461538,17.98461538,11.88461538
232.2542444,9.938461538,7.753846154,14.02307692,4.769230769,5.830769231,5.115384615,11.03076923,8.746153846,14.73076923,6.138461538,17.22307692
232.4718744,18.67692308,8.3,17.98461538,9.092307692,10.88461538,3.938461538,12.24615385,8.976923077,23.00769231,24.05384615,14.15384615
