lambda,1,2,3,4,5,6,7,8,9,10
227.2460429,11.46923077,20.94615385,14.68461538,11.87692308,6.546153846,16.1,21.63846154,11.03846154,9.592307692,11.75384615
227.4638986,15.70769231,23.57692308,10.54615385,18.49230769,10.73846154,9.823076923,15.85384615,13.84615385,9.061538462,7.130769231
227.6817445,5.638461538,18.55384615,10.5,9.184615385,10,13.52307692,17.63846154,18.44615385,14.19230769,14.87692308
227.8995807,9.053846154,12.33076923,3.907692308,12.87692308,14.03846154,14.41538462,17.88461538,9.9,9.307692308,14.70769231
228.117407,15.38461538,17.50769231,8.084615385,9.146153846,12.4,15.96153846,21.35384615,22.23076923,12.63846154,10.16923077
228.3352236,10.09230769,7.892307692,15.14615385,6.830769231,8.538461538,15.38461538,14.16153846,14.48461538,18.08461538,2.830769231
228.5530303,12.12307692,15.76153846,19.3,13.27692308,10.10769231,14.83846154,11.39230769,11.39230769,16.27692308,9.107692308
228.7708273,10.43076923,10.57692308,12.01538462,10.56923077,3.492307692,14.69230769,13.9,7.315384615,18.9,10.33846154
228.9886144,6.676923077,14.66153846,14.16923077,19.39230769,23.12307692,13.56923077,6.423076923,14.76153846,15.20769231,23.12307692
229.2063918,10.54615385,12.6,11.24615385,9.576923077,8.4,26.02307692,5.307692308,13.56153846,4.946153846,9.038461538
229.4241593,15.65384615,10.62307692,14.17692308,10.32307692,13.76153846,11.89230769,11.50769231,24.2,14.21538462,7.976923077
229.6419171,13.08461538,17.98461538,9.530769231,9.861538462,9.761538462,15.78461538,13.22307692,12.84615385,8.823076923,7.438461538
229.859665,12.92307692,10.23076923,11.95384615,4.923076923,8.292307692,11.29230769,11.26923077,13.22307692,4.030769231,10.49230769
230.0774032,6.053846154,5.907692308,8.707692308,3.176923077,8.123076923,16.70769231,11.85384615,6.869230769,12.48461538,8.515384615
230.2951315,11.50769231,19.07692308,11.92307692,19.92307692,11.82307692,16.82307692,15.13846154,8.430769231,15.26923077,14.35384615
230.51285,14.99230769,11.86153846,6.584615385,14.86923077,11.96153846,13.05384615,15.72307692,3.207692308,13.25384615,8.607692308
230.7305587,18.66153846,6.9,8.469230769,10.49230769,17.5,14.22307692,10.87692308,5.407692308,9.253846154,8.876923077
230.9482575,13.12307692,24.29230769,15.85384615,11.9,8.246153846,21.9,10.96153846,8.669230769,7.784615385,8.307692308
231.1659466,17.86153846,11.6,11.73846154,16.73846154,13.10769231,14.32307692,16.76153846,15.93076923,9.730769231,17.22307692
231.3836258,7.369230769,8.246153846,8.130769231,12.27692308,8.8,20.70769231,10.75384615,6.707692308,8.946153846,8.546153846
231.6012952,17.70769231,17.10769231,4.946153846,16.28461538,10.17692308,12.19230769,6.561538462,6.323076923,15.48461538,10.91538462
231.8189547,8.015384615,7.453846154,13.06153846,15.57692308,10.02307692,8.476923077,14.16153846,11.70769231,10.09230769,12.54615385
232.0366045,8.623076923,10.66153846,12.72307692,13.1,7.523076923,15.95384615,15.88461538,8.615384615,19.33846154,15.76153846
232.2542444,13.74615385,10.04615385,7.007692308,4.646153846,6.223076923,10.86153846,13.04615385,9.607692308,7.915384615,6.4
232.4718744,14.96923077,18.49230769,8.507692308,3.784615385,12.56923077,14.94615385,16.03076923,15.53846154,19.09230769,8.6
232.6894946,10.90769231,9.384615385,18.27692308,6.138461538,7.323076923,12.06923077,11.34615385,12.66153846,8.523076923,9.646153846
232.907105,15.09230769,18.53076923,13.06153846,14.10769231,14.87692308,9.615384615,22.33076923,15.65384615,12.38461538,12.82307692
233.1247055,15.75384615,13.71538462,4.323076923,15.61538462,9.592307692,3.830769231,10,21.42307692,5.430769231,5.576923077
233.3422962,8.838461538,11.69230769,8.184615385,5.969230769,8.284615385,15.57692308,13.08461538,17.98461538,15.48461538,13.62307692
233.559877,19.00769231,12.32307692,13.57692308,4.292307692,2,9.815384615,7.253846154,7.015384615,8.792307692,6.115384615
233.777448,11.02307692,9.430769231,21.16153846,22.66153846,15.00769231,9.661538462,15.04615385,19.53846154,16.49230769,14.40769231
233.9950092,6.615384615,8.784615385,11.21538462,10.8,7.469230769,14.05384615,7.838461538,6.961538462,9.523076923,10.76153846
234.2125604,14.54615385,15.52307692,12.24615385,16.34615385,11.41538462,28.82307692,16.10769231,19.33846154,11.8,8.776923077
234.4301018,11.45384615,23.27692308,8.730769231,7,14.16153846,18.46153846,14.16153846,8.061538462,18.66153846,10.04615385
234.6476334,11.47692308,12.62307692,21.85384615,18.92307692,17.6,12.52307692,27.16923077,12.48461538,12.31538462,10.9
234.8651551,18.28461538,8.007692308,8.169230769,8.707692308,11.67692308,11.99230769,14.08461538,2.323076923,6.646153846,16.10769231
235.0826669,17.96923077,17.82307692,13.50769231,18.86153846,6.707692308,12.84615385,12.69230769,6.292307692,9.907692308,11.73076923
235.3001688,11.61538462,18.18461538,12.19230769,19.76923077,8,13.12307692,12.09230769,5.1,5.976923077,11.23846154
235.5176609,7.538461538,19.39230769,19.84615385,9.176923077,14.38461538,10.20769231,11.13076923,8.115384615,15.16153846,10.11538462
235.7351431,9.730769231,7.615384615,10.34615385,15.41538462,8.423076923,15.03076923,13.37692308,16.66153846,9.692307692,8.523076923
235.9526155,7.376923077,14.81538462,15.14615385,12.49230769,16.5,10.2,17.36923077,14.10769231,18.23846154,9.253846154
236.1700779,12.93076923,11.95384615,8.753846154,5.553846154,8.861538462,13.39230769,6.653846154,3.753846154,12.38461538,13.46153846
236.3875305,6.184615385,15.8,9.823076923,13.41538462,16.34615385,18.81538462,14.9,7.661538462,16.64615385,11.38461538
236.6049732,13.36153846,11.26923077,9.269230769,9.661538462,21.14615385,15.6,15.31538462,12.66153846,2.9,11.45384615
236.822406,8.8,16.56923077,15.53076923,12.76923077,21.36153846,18.93076923,13.12307692,15.03846154,10.75384615,11.53846154
237.0398289,8.669230769,10.74615385,14.04615385,13.36923077,15.04615385,22.83846154,15.94615385,18.62307692,15.66153846,4.084615385
237.2572419,11.58461538,17.93846154,15.4,9.246153846,15.87692308,11.6,11.5,16.03076923,20.11538462,10.57692308
237.474645,12.86923077,13.39230769,11.26923077,11.72307692,8.730769231,8.015384615,6.076923077,16.36923077,10.13076923,10.28461538
237.6920383,4.053846154,11.2,14.19230769,11.20769231,21.28461538,13.78461538,19.05384615,11.96923077,16.56153846,6.130769231
237.9094216,10.47692308,6.653846154,4.192307692,14.99230769,20.43846154,8.769230769,5.884615385,3.138461538,7.846153846,11.16923077
238.126795,9.015384615,10.63076923,8.476923077,7.115384615,14.6,11.43076923,14.90769231,10.08461538,17.46153846,9.215384615
238.3441586,7.346153846,11.54615385,11.24615385,10.3,5.446153846,12.83076923,21.65384615,11.04615385,12.98461538,11.88461538
238.5615122,16.23076923,13.58461538,12.16923077,9.015384615,14.65384615,10.8,17.35384615,20.84615385,18.46153846,18.40769231
238.7788559,10.97692308,17.61538462,2,5.2,9.246153846,4.523076923,13.51538462,11.06923077,10.63076923,14.1
238.9961897,15.96153846,11.74615385,10.87692308,14.53846154,13.88461538,10.59230769,17.76923077,12.57692308,13.99230769,11.43076923
239.2135136,7.092307692,7.446153846,13.71538462,13.62307692,10.54615385,8.261538462,13.47692308,9.553846154,14.63076923,5.969230769
239.4308276,20.40769231,17.90769231,14.56923077,18.19230769,16.82307692,15,13.92307692,9.207692308,15.06153846,18.51538462
239.6481317,10.25384615,7.792307692,12.06153846,13.17692308,8.869230769,11.90769231,21.5,7.015384615,14.85384615,11.19230769
239.8654259,10.77692308,14.23846154,10.63846154,11.26153846,15.77692308,18.90769231,22.03076923,11.50769231,11.65384615,5.961538462
240.0827101,8.730769231,13.28461538,21.30769231,9.361538462,5.715384615,10.04615385,10.32307692,17.19230769,16.73846154,6.392307692
240.2999844,11.71538462,17.19230769,13.07692308,21.97692308,19.4,23.39230769,15.94615385,20.13846154,15.50769231,1.869230769
240.5172488,8.192307692,11.94615385,13.77692308,9.446153846,14.92307692,17.53846154,16.76153846,7.923076923,9.792307692,8.753846154
240.7345032,18.23076923,11.98461538,21.86153846,18.82307692,14.53076923,9.892307692,17.30769231,15.46923077,20.85384615,5.476923077
240.9517477,7.553846154,5.246153846,11.67692308,7.607692308,10.17692308,15.38461538,5.253846154,12.52307692,6.723076923,11.23846154
241.1689823,22.66923077,12.86923077,12.89230769,17.94615385,12.54615385,16.29230769,15.29230769,19.16153846,19.80769231,12.63076923
241.386207,11.8,10.1,11.99230769,2.384615385,12,16.40769231,13.68461538,11.58461538,9.969230769,10.30769231
241.6034217,12.64615385,15.70769231,15.03076923,17.66923077,15.38461538,16.35384615,15.3,14.18461538,12.60769231,14.25384615
241.8206264,9.769230769,14.35384615,8.315384615,4.130769231,9.6,16.2,14.24615385,6.930769231,1.815384615,8.869230769
242.0378213,14.74615385,8.530769231,11.7,7.292307692,16.72307692,20.5,9.592307692,13.9,22.83076923,11.96153846
242.2550061,8.284615385,7.730769231,7.784615385,15.16923077,8.438461538,12.93846154,18.6,14.05384615,6.9,11.56153846
242.4721811,8.761538462,18.09230769,16.23076923,15.16153846,6,8.607692308,14.16923077,16.55384615,9.584615385,8.369230769
242.689346,5.776923077,13.75384615,15.45384615,7.307692308,10.5,15.05384615,11.19230769,8.069230769,8.6,7.253846154
242.9065011,15.86923077,16.63846154,12.87692308,12.88461538,12.23076923,14.9,17.76923077,17.9,13.96923077,12.28461538
