lambda,1,2,3,4,5,6,7,8,9,10,11
222.232667,13.2,12.27692308,21.40769231,11.86923077,13.53846154,14.03076923,12.51538462,11.76923077,13.57692308,10.73846154,
222.4507471,23.73076923,16.64615385,19.66923077,14.33846154,19.23076923,14.19230769,17.64615385,18.79230769,19.7,13.23846154,
222.6688174,9.792307692,17.08461538,19.11538462,13.46923077,19.57692308,18.29230769,12.69230769,6.515384615,12.13076923,13.26923077,
222.886878,22.50769231,14.4,17.56153846,23.74615385,23.46153846,23.73846154,11.03076923,13.86153846,18.6,8.807692308,
223.1049289,12.15384615,9.838461538,9.830769231,17.43076923,2.892307692,19.23076923,16.71538462,13.22307692,5.707692308,5.823076923,
223.3229701,12.64615385,10.45384615,13.66153846,13.62307692,23.16153846,9.146153846,9.746153846,16.90769231,14.52307692,11.66923077,
223.5410015,5.961538462,6.084615385,16.65384615,10.90769231,5.561538462,12.43076923,7.815384615,10.2,10.96153846,10.7,
223.7590231,13.03846154,14.80769231,7.492307692,15.35384615,15.8,16.15384615,24.57692308,18.22307692,8.838461538,16.75384615,
223.977035,18,15.04615385,9.230769231,11.26153846,10.9,11.52307692,13.04615385,12.19230769,6.407692308,12.03076923,
224.1950372,19.83076923,24.30769231,24.67692308,23.15384615,11.06923077,17.3,17.14615385,11,23.12307692,21.71538462,
224.4130296,9.984615385,7.984615385,8.753846154,9.330769231,15.18461538,14.37692308,16.64615385,20.34615385,18.19230769,4.784615385,
224.6310123,18.52307692,8.692307692,14.41538462,14.24615385,10.82307692,24.15384615,13.93076923,17.63076923,13.95384615,12.77692308,
224.8489852,16.93076923,23.04615385,6.323076923,7.915384615,8.3,6.584615385,15.47692308,15.69230769,17.06153846,5.276923077,
225.0669484,16.90769231,18.5,10.88461538,16.86923077,12.96923077,22.04615385,14.3,20.04615385,18.50769231,25.58461538,
225.2849018,7.015384615,7.646153846,11.16153846,24.33076923,18.96153846,12.61538462,12.50769231,9.738461538,6.307692308,12.06153846,
225.5028454,19.48461538,18.64615385,16.90769231,22.96923077,23.09230769,20.74615385,12.69230769,10,22.59230769,14.34615385,
225.7207793,15.20769231,15.50769231,16.33846154,14.75384615,10.73846154,7.492307692,8.907692308,7.815384615,9.869230769,21.73076923,
