Distance_(cm),Gray_Value
6.4581,108.782
6.4647,131.406
6.4713,159.372
6.4779,180.705
6.4845,190.374
6.4910,194.357
6.4976,199.211
6.5042,196.019
6.5108,194.835
6.5174,200.371
6.5240,203.415
6.5306,197.894
6.5372,184.609
6.5438,167.740
6.5504,167.024
6.5569,158.158
6.5635,135.751
6.5701,110.544
6.5767,88.856
6.5833,71.654
6.5899,63.224
6.5965,68.307
6.6031,65.123
6.6097,88.610
6.6163,152.243
6.6228,195.176
6.6294,207.399
6.6360,208.475
6.6426,199.835
6.6492,179.434
6.6558,164.672
6.6624,177.903
6.6690,175.642
6.6756,178.075
6.6821,184.240
6.6887,188.306
6.6953,182.312
6.7019,166.098
6.7085,143.068
6.7151,109.160
6.7217,98.963
6.7283,81.472
6.7349,66.247
6.7415,65.147
6.7480,88.112
6.7546,129.074
6.7612,166.242
6.7678,192.202
6.7744,200.328
6.7810,204.797
6.7876,207.510
6.7942,206.195
6.8008,200.808
6.8074,192.276
6.8139,186.054
6.8205,186.740
6.8271,181.806
6.8337,161.768
6.8403,130.074
6.8469,99.138
6.8535,75.693
6.8601,61.666
6.8667,55.165
6.8733,58.214
6.8798,74.967
6.8864,80.027
6.8930,87.783
6.8996,99.358
6.9062,113.705
6.9128,128.524
6.9194,139.149
6.9260,144.665
6.9326,130.189
6.9392,126.078
6.9457,121.901
6.9523,115.180
6.9589,106.232
6.9655,96.129
6.9721,86.678
6.9787,79.923
6.9853,68.161
6.9919,61.269
6.9985,58.887
7.0051,57.015
7.0116,56.250
7.0182,55.987
7.0248,55.563
7.0314,55.000
7.0380,56.612
7.0446,59.333
7.0512,59.094
7.0578,58.842
7.0644,58.589
7.0710,58.337
7.0775,58.084
7.0841,57.832
7.0907,57.289
7.0973,55.000
7.1039,55.000
7.1105,55.000
7.1171,55.000
7.1237,55.000
7.1303,55.000
7.1369,55.000
7.1434,55.000
7.1500,52.538
7.1566,52.000
7.1632,52.756
7.1698,53.000
7.1764,53.691
7.1830,54.000
7.1896,54.626
7.1962,55.000
7.2028,57.652
7.2093,58.498
7.2159,57.732
7.2225,57.437
7.2291,57.432
7.2357,58.675
7.2423,59.804
7.2489,60.457
7.2555,58.234
7.2621,52.000
7.2686,52.237
7.2752,53.000
7.2818,53.172
7.2884,54.000
7.2950,54.108
7.3016,55.000
7.3082,55.124
7.3148,57.683
7.3214,59.688
7.3280,62.638
7.3345,67.346
7.3411,72.287
7.3477,76.929
7.3543,80.739
7.3609,82.077
7.3675,88.755
7.3741,88.439
7.3807,84.350
7.3873,79.079
7.3939,73.563
7.4004,68.239
7.4070,63.162
7.4136,61.578
7.4202,60.093
7.4268,54.185
7.4334,51.157
7.4400,49.385
7.4466,49.278
7.4532,50.698
7.4598,52.628
7.4663,54.655
7.4729,57.207
7.4795,59.971
7.4861,73.150
7.4927,92.607
7.4993,111.301
7.5059,123.811
7.5125,128.908
7.5191,129.219
7.5257,128.442
7.5322,113.191
7.5388,112.447
7.5454,107.553
