Distance_(cm),Gray_Value
3.6853,157.452
3.6920,156.754
3.6987,157.024
3.7055,157.432
3.7122,158.313
3.7189,165.857
3.7256,166.705
3.7324,167.414
3.7391,166.798
3.7458,166.879
3.7525,166.718
3.7593,165.846
3.7660,165.756
3.7727,160.400
3.7794,160.173
3.7862,160.015
3.7929,161.363
3.7996,162.864
3.8063,163.932
3.8131,165.726
3.8198,166.321
3.8265,170.646
3.8332,171.336
3.8400,171.638
3.8467,171.185
3.8534,170.463
3.8601,170.080
3.8669,169.974
3.8736,170.774
3.8803,165.817
3.8870,165.191
3.8938,164.748
3.9005,164.124
3.9072,161.634
3.9139,160.120
3.9207,159.251
3.9274,158.614
3.9341,152.503
3.9408,149.953
3.9476,148.599
3.9543,147.229
3.9610,146.466
3.9677,145.824
3.9745,144.838
3.9812,144.067
3.9879,141.607
3.9946,139.931
4.0014,138.837
4.0081,137.073
4.0148,134.315
4.0215,131.908
4.0283,129.779
4.0350,128.706
4.0417,127.381
4.0484,124.938
4.0552,122.397
4.0619,118.720
4.0686,114.866
4.0753,111.611
4.0821,108.905
4.0888,107.455
4.0955,107.006
4.1022,106.544
4.1090,105.703
4.1157,104.598
4.1224,103.656
4.1291,102.725
4.1359,101.732
4.1426,100.914
4.1493,100.504
4.1560,100.333
4.1628,100.333
4.1695,100.333
4.1762,100.147
4.1829,100.000
4.1897,100.000
4.1964,100.000
4.2031,102.348
4.2098,105.058
4.2166,105.541
4.2233,106.288
4.2300,107.272
4.2367,107.902
4.2435,108.446
4.2502,109.153
4.2569,113.781
4.2636,120.089
4.2704,123.786
4.2771,128.925
4.2838,135.231
4.2905,141.693
4.2973,147.671
4.3040,151.049
4.3107,158.578
4.3174,170.926
4.3242,181.591
4.3309,190.102
4.3376,190.291
4.3443,184.898
4.3511,180.496
4.3578,178.702
4.3645,179.865
4.3712,181.894
4.3780,178.090
4.3847,174.163
4.3914,171.603
4.3981,170.120
4.4049,169.152
4.4116,168.849
4.4183,168.126
4.4250,163.540
4.4318,162.211
4.4385,160.067
4.4452,157.832
4.4519,155.383
4.4587,153.350
4.4654,152.084
4.4721,152.200
4.4788,154.679
4.4856,154.814
4.4923,154.632
4.4990,154.726
4.5057,154.491
4.5125,154.835
4.5192,154.583
4.5259,152.857
4.5326,144.069
4.5394,146.513
4.5461,149.950
4.5528,152.763
4.5595,154.025
4.5663,154.148
4.5730,154.537
4.5797,152.281
4.5864,138.322
4.5932,140.316
4.5999,141.600
4.6066,141.025
4.6133,137.682
4.6201,131.038
4.6268,125.312
4.6335,121.036
4.6402,118.214
4.6470,123.485
4.6537,130.676
4.6604,139.646
4.6671,145.382
4.6739,142.790
4.6806,132.109
4.6873,123.796
4.6940,112.985
4.7008,117.613
4.7075,122.816
4.7142,124.490
4.7209,128.656
4.7277,142.554
4.7344,161.693
4.7411,172.764
4.7478,148.527
4.7546,136.291
4.7613,125.546
4.7680,125.209
4.7747,130.396
4.7815,133.194
4.7882,128.236
