Distance_(cm),Gray_Value
3.50724,186.006
3.51391,170.149
3.52058,148.643
3.52725,144.320
3.53391,150.024
3.54058,148.156
3.54725,148.653
3.55392,148.125
3.56059,145.871
3.56725,141.665
3.57392,135.377
3.58059,128.012
3.58726,122.916
3.59392,119.291
3.60059,123.759
3.60726,127.435
3.61393,129.779
3.62060,131.459
3.62726,134.821
3.63393,141.655
3.64060,148.737
3.64727,157.589
3.65393,161.675
3.66060,161.320
3.66727,161.065
3.67394,160.570
3.68061,157.711
3.68727,155.121
3.69394,153.092
3.70061,149.719
3.70728,144.917
3.71394,142.263
3.72061,138.599
3.72728,133.109
3.73395,125.095
3.74062,119.115
3.74728,116.661
3.75395,117.488
3.76062,112.232
3.76729,128.687
3.77395,151.990
3.78062,167.840
3.78729,175.572
3.79396,176.550
3.80063,176.664
3.80729,177.413
3.81396,174.657
3.82063,169.462
3.82730,162.190
3.83396,153.917
3.84063,146.972
3.84730,143.604
3.85397,145.074
3.86064,149.740
3.86730,120.378
3.87397,99.155
3.88064,97.736
3.88731,90.171
3.89397,72.871
3.90064,62.012
3.90731,63.187
3.91398,73.814
3.92064,101.431
3.92731,151.204
3.93398,167.306
3.94065,180.586
3.94732,183.391
3.95398,180.282
3.96065,172.633
3.96732,164.963
3.97399,154.302
3.98065,127.041
3.98732,117.074
3.99399,101.389
4.00066,82.714
4.00733,62.778
4.01399,45.216
4.02066,33.185
4.02733,28.064
4.03400,43.288
4.04066,51.004
4.04733,52.980
4.05400,55.577
4.06067,58.829
4.06734,62.210
4.07400,64.963
4.08067,67.548
4.08734,66.717
4.09401,66.926
4.10067,67.839
4.10734,65.520
4.11401,62.966
4.12068,61.030
4.12735,59.093
4.13401,57.412
4.14068,56.295
4.14735,54.936
4.15402,54.667
4.16068,54.610
4.16735,54.126
4.17402,53.993
4.18069,53.969
4.18736,53.111
4.19402,53.329
4.20069,53.544
4.20736,54.611
4.21403,55.633
4.22069,58.111
4.22736,62.500
4.23403,69.368
4.24070,77.996
4.24737,84.832
4.25403,110.701
4.26070,120.878
4.26737,114.732
4.27404,105.048
4.28070,93.409
4.28737,81.997
4.29404,76.404
4.30071,77.271
4.30737,73.577
4.31404,61.687
4.32071,58.394
4.32738,53.891
4.33405,49.702
